Name,Price,Change,Market cap,Volume(24h),Supply
BitcoinBTC,"36,875.99",0.01,722.9B,17.7B,19.6M
EthereumETH,"2,048.27",0.49,246.0B,8.2B,120.2M
TetherUSDT,0.92,0.01,87.7B,31.7B,95.6B
BNBBNB,270.33,0.22,40.5B,945.2M,149.5M
SolanaSOL,81.53,1.87,35.3B,1.8B,433.1M
XRPXRP,0.47,0.81,25.6B,729.6M,54.3B
USDCUSDC â€¢ Earns up to 5.00% APY,0.92,,23.7B,4.6B,25.9B
CardanoADA,0.44,1.56,15.7B,318.2M,35.4B
DogecoinDOGE,0.0719,1.79,10.3B,290.1M,142.8B
AvalancheAVAX,27.88,2.41,10.3B,481.4M,367.0M
TRONTRX,0.10,3.19,9.0B,214.0M,88.2B
PolkadotDOT,5.99,1.00,7.6B,155.5M,1.3B
ChainlinkLINK,12.71,2.62,7.2B,346.4M,568.1M
ToncoinTON,1.93,3.13,6.7B,21.9M,3.5B
PolygonMATIC,0.67,0.35,6.5B,228.6M,9.6B
DaiDAI,0.92,0.01,4.9B,196.6M,5.3B
SHIBA INUSHIB,0.00000816,0.45,4.8B,81.0M,589.3T
Internet ComputerICP,10.47,6.54,4.8B,196.7M,456.3M
LitecoinLTC,60.26,0.09,4.5B,227.8M,74.1M
Bitcoin CashBCH,217.22,0.09,4.3B,154.8M,19.6M
UNUS SED LEOLEO,3.72,0.56,3.4B,1.6M,927.8M
CosmosATOM,8.52,0.10,3.3B,78.8M,384.1M
UniswapUNI,5.37,0.36,3.2B,60.7M,598.2M
Aave UNI V2aUNIv2,5.36,0.16,3.2B,60.7M,598.2M
Ethereum ClassicETC,20.89,1.21,3.0B,183.1M,145.2M
Stellar LumensXLM,0.10,0.27,2.9B,56.9M,28.4B
OKBOKB,45.71,5.38,2.7B,9.3M,60.0M
MoneroXMR,142.41,0.88,2.6B,59.1M,18.4M
InjectiveINJ,29.48,3.78,2.6B,92.1M,88.4M
AptosAPT,7.72,1.98,2.6B,108.7M,336.6M
